@RELATION test

@ATTRIBUTE C17002e1  NUMERIC
@ATTRIBUTE C17002e2   NUMERIC
@ATTRIBUTE C17002e3  NUMERIC
@ATTRIBUTE poverty    {low_poverty,high_poverty}

@data
723,33,10,low_poverty
1431,0,8,low_poverty
1489,9,101,low_poverty
1119,34,37,low_poverty
1488,38,1,low_poverty
1330,0,8,low_poverty
968,0,83,high_poverty
1470,0,12,low_poverty
1906,72,62,low_poverty
962,0,21,low_poverty
860,0,13,low_poverty
900,0,54,low_poverty
2258,58,0,low_poverty
691,0,7,low_poverty
2550,264,56,low_poverty
867,0,28,low_poverty
689,175,59,high_poverty
855,54,0,low_poverty
904,0,12,low_poverty
598,0,27,low_poverty
1586,132,29,low_poverty
1109,0,0,low_poverty
808,0,0,low_poverty
942,1,17,low_poverty
1084,0,63,low_poverty
1095,0,0,low_poverty
1408,0,34,low_poverty
745,7,5,low_poverty
716,0,0,low_poverty
890,0,40,low_poverty
966,0,159,low_poverty
1388,44,0,high_poverty
1480,13,74,low_poverty
1251,0,283,high_poverty
2070,87,0,low_poverty
965,24,16,low_poverty
1710,34,161,low_poverty
919,13,138,low_poverty
1516,14,114,high_poverty
559,41,101,low_poverty
964,0,77,low_poverty
900,0,0,low_poverty
1076,46,175,low_poverty
1443,29,52,high_poverty
544,0,10,low_poverty
1989,71,52,low_poverty
1544,53,89,low_poverty
971,0,0,low_poverty
900,0,0,low_poverty
672,0,121,low_poverty
1074,18,134,low_poverty
743,77,273,high_poverty
2001,0,136,low_poverty
1029,67,0,low_poverty
2296,376,233,high_poverty
1432,91,94,low_poverty
748,12,108,low_poverty
1323,131,17,low_poverty
1274,58,0,low_poverty
1115,42,62,low_poverty
1265,80,117,low_poverty
1182,23,74,low_poverty
1491,0,172,low_poverty
1340,38,8,low_poverty
1465,74,53,low_poverty
1182,11,14,low_poverty
2224,9,119,low_poverty
985,5,12,low_poverty
1823,41,71,low_poverty
933,22,100,low_poverty
768,245,60,low_poverty
1676,38,35,low_poverty
1421,39,35,low_poverty
1839,42,68,low_poverty
981,0,0,low_poverty
1360,12,10,low_poverty
1276,46,225,high_poverty
1849,693,133,high_poverty
879,61,22,low_poverty
1422,164,149,low_poverty
1958,114,113,low_poverty
3009,107,87,low_poverty
1949,213,47,low_poverty
1717,68,44,low_poverty
967,0,35,high_poverty
1191,1,401,high_poverty
503,124,0,low_poverty
927,0,56,low_poverty
898,10,95,low_poverty
1357,45,0,low_poverty
648,81,0,low_poverty
950,10,69,low_poverty
1529,28,114,low_poverty
1926,154,113,low_poverty
1274,70,59,low_poverty
688,49,64,low_poverty
947,0,9,low_poverty
884,19,0,low_poverty
319,0,39,high_poverty
1600,34,23,high_poverty
916,106,25,low_poverty
1129,0,55,low_poverty
2409,178,473,high_poverty
1360,28,205,high_poverty
1512,22,24,high_poverty
1567,53,147,low_poverty
2765,21,183,low_poverty
2186,55,132,low_poverty
1126,0,13,low_poverty
1029,11,73,low_poverty
1356,36,324,low_poverty
806,114,19,low_poverty
645,14,0,low_poverty
796,0,0,low_poverty
848,0,34,low_poverty
925,0,13,low_poverty
606,0,93,low_poverty
1631,83,123,low_poverty
1078,139,37,low_poverty
1136,0,12,low_poverty
970,78,94,low_poverty
898,100,102,low_poverty
853,7,8,low_poverty
1254,225,0,low_poverty
868,28,69,low_poverty
787,21,65,low_poverty
1801,73,326,high_poverty
1906,340,65,low_poverty
915,0,84,high_poverty
1743,7,572,high_poverty
448,0,123,high_poverty
2215,54,63,low_poverty
606,0,303,high_poverty
1181,97,27,high_poverty
1600,52,199,high_poverty
2062,78,688,high_poverty
1100,76,326,high_poverty
989,5,66,high_poverty
2561,43,628,high_poverty
1182,41,185,high_poverty
1134,145,311,high_poverty
1861,229,465,high_poverty
2747,314,261,high_poverty
1724,22,125,high_poverty
876,0,142,low_poverty
1603,71,132,low_poverty
1662,21,197,low_poverty
1076,23,124,high_poverty
1119,143,179,high_poverty
1178,40,23,low_poverty
1208,62,398,high_poverty
1751,20,93,low_poverty
713,59,13,low_poverty
1064,144,134,high_poverty
1399,0,44,high_poverty
1421,0,85,low_poverty
698,46,60,low_poverty
1169,93,15,low_poverty
876,0,98,low_poverty
1398,83,342,high_poverty
1154,76,168,low_poverty
966,31,19,low_poverty
844,0,0,low_poverty
568,0,0,low_poverty
1481,92,0,low_poverty
1375,240,69,low_poverty
1350,49,0,high_poverty
1079,18,56,low_poverty
1015,0,13,low_poverty
531,44,0,low_poverty
1197,0,146,low_poverty
1527,140,305,high_poverty
1003,40,157,high_poverty
1446,39,115,high_poverty
1014,8,103,low_poverty
911,76,77,high_poverty
1352,0,26,high_poverty
867,13,35,low_poverty
2166,84,367,high_poverty
1278,83,146,low_poverty
2154,90,595,low_poverty
1380,82,19,high_poverty
1952,93,65,low_poverty
764,7,8,high_poverty
1233,66,222,high_poverty
2099,167,187,high_poverty
654,159,0,high_poverty
1277,85,41,low_poverty
979,31,104,high_poverty
1487,30,0,low_poverty
787,49,97,high_poverty
2377,336,450,high_poverty
1377,119,286,high_poverty
1334,134,0,low_poverty
1592,194,292,low_poverty
1613,0,168,low_poverty
1170,97,8,high_poverty
746,0,95,low_poverty
1571,3,40,low_poverty
1144,0,0,low_poverty
1273,15,86,low_poverty
1391,0,139,low_poverty
1895,90,153,low_poverty
1514,30,234,low_poverty
1021,0,0,low_poverty
764,122,19,low_poverty
813,0,0,low_poverty
831,162,39,low_poverty
1025,0,43,low_poverty
854,18,7,low_poverty
1357,0,137,low_poverty
1219,0,68,low_poverty
541,31,62,low_poverty
842,21,18,low_poverty
929,169,104,high_poverty
1079,0,0,low_poverty
2198,91,105,low_poverty
851,0,7,low_poverty
961,0,0,low_poverty
1108,0,54,low_poverty
1021,12,78,low_poverty
987,0,38,low_poverty
868,0,25,low_poverty
1163,0,0,low_poverty
550,30,16,low_poverty
738,15,0,low_poverty
955,37,142,low_poverty
1990,117,129,low_poverty
1207,18,17,low_poverty
2178,126,122,high_poverty
989,0,62,low_poverty
1610,147,246,low_poverty
943,0,0,high_poverty
1127,0,314,low_poverty
1098,106,357,high_poverty
1926,0,76,low_poverty
1373,133,77,low_poverty
926,33,0,low_poverty
1104,35,306,low_poverty
1279,4,162,low_poverty
1116,19,179,low_poverty
1189,8,48,low_poverty
1239,170,279,high_poverty
538,147,19,low_poverty
638,54,104,high_poverty
1371,209,135,high_poverty
1474,78,262,low_poverty
877,77,0,low_poverty
1486,233,18,low_poverty
1038,0,0,low_poverty
956,67,51,high_poverty
1244,0,10,low_poverty
851,46,9,low_poverty
1302,14,91,low_poverty
777,19,41,low_poverty
833,56,68,low_poverty
1419,104,135,low_poverty
2213,92,218,low_poverty
599,0,40,low_poverty
766,17,7,low_poverty
1370,5,43,low_poverty
2176,209,677,low_poverty
868,0,8,low_poverty
1288,3,38,low_poverty
3000,16,61,low_poverty
646,0,0,low_poverty
1109,110,21,high_poverty
1851,86,33,low_poverty
887,32,12,high_poverty
1956,31,223,low_poverty
1100,0,62,low_poverty
1143,73,157,high_poverty
2054,71,161,high_poverty
881,27,89,high_poverty
2445,33,116,low_poverty
1709,87,293,high_poverty
826,29,101,low_poverty
1428,24,28,low_poverty
1236,42,406,low_poverty
1318,94,76,low_poverty
1301,158,333,low_poverty
1203,0,133,low_poverty
1932,26,54,low_poverty
762,7,22,low_poverty
1151,0,0,low_poverty
1761,158,77,low_poverty
1105,26,289,low_poverty
1731,475,189,high_poverty
1494,90,75,low_poverty
2387,18,194,low_poverty
1802,115,632,high_poverty
950,0,63,low_poverty
1195,87,0,low_poverty
731,7,22,low_poverty
1332,13,14,low_poverty
876,28,0,low_poverty
1145,10,0,low_poverty
1315,0,12,low_poverty
1929,25,40,low_poverty
1862,73,0,low_poverty
1083,141,1,low_poverty
1786,90,22,low_poverty
3209,167,13,low_poverty
2751,0,0,low_poverty
1300,16,0,low_poverty
2281,41,109,low_poverty
1218,36,0,low_poverty
1398,19,35,low_poverty
1953,43,142,low_poverty
2275,0,69,low_poverty
1675,0,0,low_poverty
2436,101,175,low_poverty
1681,121,0,low_poverty
1616,18,18,low_poverty
2740,0,434,low_poverty
2384,18,71,low_poverty
1281,119,55,high_poverty
1399,39,300,high_poverty
607,21,0,low_poverty
976,22,0,low_poverty
1795,16,50,low_poverty
976,29,0,low_poverty
732,0,11,high_poverty
739,37,103,low_poverty
2112,411,25,high_poverty
1302,76,105,high_poverty
878,148,58,high_poverty
1898,34,8,low_poverty
1640,77,241,low_poverty
2136,15,82,low_poverty
1723,8,84,low_poverty
2173,24,77,low_poverty
2389,39,295,low_poverty
1140,116,107,high_poverty
1194,474,30,high_poverty
1837,111,179,low_poverty
919,319,24,high_poverty
1481,308,77,high_poverty
1513,549,138,high_poverty
1029,150,17,high_poverty
1158,320,139,high_poverty
1006,0,38,low_poverty
1674,101,237,high_poverty
1394,43,57,low_poverty
1357,34,36,low_poverty
763,47,34,low_poverty
1843,309,37,low_poverty
935,49,29,high_poverty
1615,515,41,high_poverty
2387,545,607,high_poverty
455,132,69,high_poverty
1074,275,155,high_poverty
1143,102,149,low_poverty
996,124,213,high_poverty
1821,989,67,high_poverty
512,405,32,high_poverty
1324,515,99,high_poverty
486,60,222,high_poverty
624,27,0,low_poverty
1271,5,40,high_poverty
498,28,19,low_poverty
567,5,4,low_poverty
1133,46,47,low_poverty
513,5,51,low_poverty
842,10,36,low_poverty
1074,65,111,high_poverty
1110,88,98,low_poverty
1545,34,134,low_poverty
954,90,64,low_poverty
1363,51,58,low_poverty
971,14,21,low_poverty
787,5,64,low_poverty
1343,56,234,low_poverty
994,0,135,low_poverty
701,81,126,high_poverty
576,31,40,high_poverty
750,8,16,high_poverty
1622,201,45,low_poverty
828,223,148,high_poverty
825,26,25,low_poverty
851,7,34,low_poverty
603,53,13,high_poverty
595,53,69,low_poverty
1083,28,44,low_poverty
987,167,101,high_poverty
1228,10,4,low_poverty
917,6,26,low_poverty
2032,218,364,high_poverty
1362,254,542,high_poverty
661,60,79,high_poverty
1145,175,82,low_poverty
1641,240,533,high_poverty
2349,127,101,high_poverty
1161,13,20,low_poverty
947,0,10,low_poverty
1697,83,164,low_poverty
1606,0,38,low_poverty
772,9,21,low_poverty
1070,0,7,low_poverty
837,8,0,low_poverty
1555,123,13,low_poverty
2528,152,355,low_poverty
1383,33,202,high_poverty
605,70,147,low_poverty
1334,2,10,low_poverty
742,45,126,low_poverty
1390,694,160,high_poverty
1196,24,95,low_poverty
2380,113,44,low_poverty
1551,24,0,low_poverty
1636,200,146,high_poverty
959,0,0,low_poverty
1362,102,148,low_poverty
1494,96,73,low_poverty
897,21,73,low_poverty
980,49,7,high_poverty
649,16,0,low_poverty
513,0,0,low_poverty
1542,20,158,low_poverty
1149,53,37,low_poverty
1322,21,46,low_poverty
1846,176,160,low_poverty
1414,70,23,low_poverty
961,11,14,high_poverty
947,18,220,low_poverty
1245,59,55,low_poverty
775,0,66,low_poverty
655,147,13,high_poverty
1477,43,23,low_poverty
1835,27,14,low_poverty
936,11,43,low_poverty
699,42,10,low_poverty
1309,71,143,high_poverty
1941,114,142,low_poverty
1093,0,98,high_poverty
1183,7,42,low_poverty
1591,23,32,low_poverty
1216,0,21,low_poverty
976,12,27,low_poverty
1028,25,41,low_poverty
1697,58,41,low_poverty
652,54,57,low_poverty
1281,51,155,low_poverty
2578,65,216,high_poverty
1146,38,69,low_poverty
776,0,10,low_poverty
958,5,23,high_poverty
721,23,56,low_poverty
1680,109,132,low_poverty
789,4,21,low_poverty
601,15,17,low_poverty
663,37,14,low_poverty
879,110,104,low_poverty
442,1,30,low_poverty
1330,13,75,low_poverty
836,0,7,low_poverty
886,0,0,low_poverty
729,93,78,high_poverty
555,0,19,high_poverty
527,0,142,high_poverty
621,56,33,low_poverty
1440,0,0,low_poverty
523,1,21,low_poverty
565,30,37,high_poverty
720,8,74,low_poverty
895,0,7,low_poverty
1097,59,60,low_poverty
1016,46,54,low_poverty
1136,0,9,low_poverty
854,15,41,low_poverty
624,0,44,low_poverty
1401,15,53,low_poverty
1173,100,72,low_poverty
1017,66,40,low_poverty
601,7,26,low_poverty
993,323,238,high_poverty
1054,13,355,high_poverty
1018,0,30,high_poverty
642,18,16,low_poverty
1365,0,87,low_poverty
2696,106,658,high_poverty
428,32,0,low_poverty
899,16,19,low_poverty
867,60,84,low_poverty
1680,20,88,low_poverty
1353,58,0,low_poverty
1252,125,31,low_poverty
1246,36,44,low_poverty
1164,9,122,low_poverty
1113,65,99,low_poverty
721,150,70,low_poverty
1149,14,11,low_poverty
744,44,41,low_poverty
913,27,21,low_poverty
1138,57,56,low_poverty
1181,196,50,low_poverty
952,175,54,low_poverty
1127,19,86,low_poverty
763,54,17,low_poverty
499,0,35,low_poverty
636,18,86,high_poverty
1143,16,0,low_poverty
920,38,55,low_poverty
671,38,41,low_poverty
907,7,59,low_poverty
527,10,20,low_poverty
795,5,54,low_poverty
548,56,4,low_poverty
1411,30,256,high_poverty
1098,44,68,low_poverty
830,141,278,high_poverty
404,29,176,high_poverty
522,19,16,high_poverty
767,75,53,high_poverty
1422,27,230,low_poverty
1097,31,117,low_poverty
894,0,96,low_poverty
1173,133,152,high_poverty
616,59,40,low_poverty
912,0,39,low_poverty
2175,28,56,low_poverty
807,2,31,low_poverty
652,44,79,high_poverty
1036,31,28,low_poverty
652,10,40,low_poverty
1823,361,176,low_poverty
2089,2,41,low_poverty
1476,22,24,low_poverty
796,33,38,low_poverty
1667,0,25,low_poverty
1088,176,0,high_poverty
1244,80,104,high_poverty
1226,41,9,high_poverty
781,16,27,low_poverty
1582,2,44,low_poverty
2672,74,0,low_poverty
2850,0,0,low_poverty
1775,21,128,low_poverty
537,21,91,low_poverty
1268,5,143,low_poverty
435,6,100,low_poverty
846,58,85,low_poverty
860,56,64,low_poverty
733,64,168,high_poverty
980,20,51,low_poverty
625,37,22,high_poverty
1048,57,0,low_poverty
457,12,22,high_poverty
771,15,0,high_poverty
1525,28,84,low_poverty
1149,0,175,low_poverty
1633,67,117,low_poverty
1385,98,318,high_poverty
778,0,179,low_poverty
754,13,32,low_poverty
461,0,0,low_poverty
609,8,11,low_poverty
1025,21,16,low_poverty
1140,73,45,low_poverty
2431,29,25,low_poverty
914,12,166,high_poverty
1492,63,48,low_poverty
1299,118,86,high_poverty
618,41,126,high_poverty
927,85,255,high_poverty
884,89,326,high_poverty
1022,43,82,high_poverty
676,241,21,low_poverty
425,21,56,low_poverty
490,22,0,low_poverty
839,17,66,low_poverty
1466,22,34,low_poverty
1290,0,7,low_poverty
1371,47,30,high_poverty
818,67,147,low_poverty
891,19,70,low_poverty
1603,20,135,low_poverty
1282,9,64,low_poverty
711,10,0,high_poverty
749,18,179,high_poverty
924,33,56,high_poverty
1162,9,82,low_poverty
1048,40,110,low_poverty
876,0,2,low_poverty
890,5,50,high_poverty
957,37,68,high_poverty
1049,21,34,low_poverty
3605,0,41,low_poverty
1174,4,16,low_poverty
1850,12,42,low_poverty
1544,38,107,low_poverty
858,1,17,low_poverty
1061,95,55,low_poverty
904,81,89,low_poverty
1174,30,135,low_poverty
643,0,30,low_poverty
1056,18,109,high_poverty
620,104,9,low_poverty
1214,31,162,low_poverty
677,55,92,low_poverty
759,0,5,low_poverty
1011,187,98,high_poverty
711,22,67,low_poverty
1000,17,10,low_poverty
1377,66,133,low_poverty
718,56,173,high_poverty
940,151,16,high_poverty
565,0,49,low_poverty
1130,36,32,low_poverty
814,25,20,low_poverty
778,20,74,low_poverty
1226,83,381,high_poverty
664,34,71,low_poverty
1904,276,197,low_poverty
924,0,71,low_poverty
641,7,27,low_poverty
1218,2,31,low_poverty
1151,181,150,high_poverty
1192,292,20,low_poverty
997,9,105,low_poverty
1245,69,102,low_poverty
1541,12,166,low_poverty
1024,23,68,low_poverty
998,72,22,low_poverty
920,15,126,low_poverty
1646,94,127,low_poverty
1097,19,37,low_poverty
1303,41,86,low_poverty
886,27,87,low_poverty
889,13,57,high_poverty
1279,229,79,high_poverty
1149,17,108,low_poverty
728,0,244,high_poverty
585,24,54,high_poverty
1384,22,148,low_poverty
699,0,27,low_poverty
1095,25,22,low_poverty
793,6,76,low_poverty
854,0,22,low_poverty
701,21,153,low_poverty
693,0,8,low_poverty
1638,77,155,high_poverty
1142,30,29,low_poverty
1444,51,106,low_poverty
946,29,88,low_poverty
988,52,64,low_poverty
1074,242,85,high_poverty
1371,75,37,low_poverty
960,34,258,high_poverty
1198,6,144,low_poverty
997,56,24,low_poverty
940,6,15,low_poverty
673,7,37,low_poverty
710,11,37,low_poverty
2052,34,49,low_poverty
1172,0,32,low_poverty
366,0,5,low_poverty
1251,54,56,low_poverty
551,14,42,high_poverty
958,5,0,low_poverty
1101,77,86,low_poverty
830,72,22,low_poverty
1251,32,15,low_poverty
1012,0,17,low_poverty
1414,51,110,low_poverty
642,35,0,high_poverty
639,42,43,high_poverty
904,155,82,high_poverty
964,53,9,low_poverty
844,36,57,low_poverty
1091,60,19,low_poverty
719,0,35,low_poverty
1012,11,124,low_poverty
1890,150,393,low_poverty
1141,23,40,high_poverty
437,18,0,high_poverty
1226,34,37,low_poverty
710,0,118,low_poverty
1701,45,127,low_poverty
1414,38,160,low_poverty
1206,7,78,low_poverty
611,4,18,low_poverty
746,21,98,low_poverty
1190,303,51,low_poverty
1824,149,67,low_poverty
877,156,21,high_poverty
1077,0,80,low_poverty
643,150,131,high_poverty
1735,182,111,low_poverty
1214,181,185,low_poverty
1649,250,262,high_poverty
1817,840,290,high_poverty
948,92,76,high_poverty
481,0,13,low_poverty
1657,30,52,low_poverty
2470,142,203,low_poverty
1233,55,102,low_poverty
2407,1321,502,high_poverty
987,16,69,low_poverty
1308,236,99,high_poverty
1144,6,0,low_poverty
2296,49,0,low_poverty
809,70,0,low_poverty
2319,153,38,low_poverty
1450,0,51,high_poverty
1413,44,11,low_poverty
822,11,55,low_poverty
751,9,27,low_poverty
561,16,76,low_poverty
592,28,12,low_poverty
601,27,18,low_poverty
771,94,136,low_poverty
799,11,16,low_poverty
809,22,57,low_poverty
1278,177,34,low_poverty
908,14,34,low_poverty
896,68,84,low_poverty
1246,87,102,low_poverty
819,31,28,low_poverty
1428,120,44,low_poverty
782,35,37,low_poverty
1449,32,46,low_poverty
736,192,25,low_poverty
451,27,220,high_poverty
648,58,70,high_poverty
704,60,40,high_poverty
2011,103,205,high_poverty
2038,0,0,low_poverty
4277,100,30,low_poverty
1041,186,199,high_poverty
1148,13,3,low_poverty
1081,0,0,low_poverty
787,1,0,high_poverty
1285,84,16,low_poverty
1089,6,0,low_poverty
1240,75,105,high_poverty
1715,0,0,low_poverty
1332,12,0,low_poverty
510,35,151,high_poverty
1116,16,16,low_poverty
1719,10,9,low_poverty
1049,121,0,low_poverty
1156,3,29,low_poverty
979,0,46,low_poverty
1095,0,0,high_poverty
1266,163,103,high_poverty
1114,0,46,low_poverty
1146,142,244,low_poverty
1266,84,83,high_poverty
548,110,77,high_poverty
782,198,107,high_poverty
825,79,34,high_poverty
1042,22,65,low_poverty
823,23,54,low_poverty
952,80,86,high_poverty
1591,142,278,low_poverty
1571,16,39,low_poverty
1610,1,3,low_poverty
1188,240,141,high_poverty
2461,191,380,high_poverty
2346,62,80,low_poverty
1415,98,9,low_poverty
1095,5,63,low_poverty
1234,20,69,low_poverty
1810,41,97,low_poverty
1980,26,151,low_poverty
591,13,7,low_poverty
1001,39,21,low_poverty
955,4,77,low_poverty
1226,46,48,low_poverty
719,40,18,low_poverty
1102,254,82,high_poverty
608,115,31,low_poverty
742,19,38,low_poverty
688,0,90,low_poverty
947,52,90,low_poverty
737,23,18,low_poverty
1746,85,120,low_poverty
890,0,18,low_poverty
906,1,24,low_poverty
1321,60,27,low_poverty
1051,40,93,low_poverty
1795,172,107,high_poverty
371,10,85,high_poverty
2399,12,26,low_poverty
651,11,23,low_poverty
556,13,8,low_poverty
781,14,74,low_poverty
548,15,0,low_poverty
763,57,128,low_poverty
617,51,26,high_poverty
1889,102,47,low_poverty
1968,26,47,low_poverty
673,15,4,high_poverty
1139,103,222,high_poverty
1060,78,148,high_poverty
1113,25,3,low_poverty
837,34,28,low_poverty
645,0,15,low_poverty
787,16,13,low_poverty
966,59,60,low_poverty
1256,52,30,low_poverty
883,9,52,low_poverty
859,19,39,low_poverty
974,34,31,low_poverty
695,57,56,low_poverty
1393,179,111,high_poverty
1403,374,213,high_poverty
934,14,16,high_poverty
1162,0,0,low_poverty
1196,17,40,low_poverty
722,0,11,low_poverty
793,5,27,low_poverty
1104,16,76,low_poverty
1533,144,136,low_poverty
1350,65,50,low_poverty
1985,8,110,low_poverty
882,0,19,low_poverty
1645,125,5,low_poverty
666,31,41,low_poverty
726,43,14,low_poverty
539,19,71,high_poverty
730,46,32,low_poverty
1116,64,12,low_poverty
1080,280,0,low_poverty
657,43,99,high_poverty
1109,77,107,low_poverty
1192,75,59,low_poverty
880,55,37,low_poverty
706,0,163,low_poverty
1108,37,274,high_poverty
453,2,15,low_poverty
1477,98,170,high_poverty
1336,0,131,low_poverty
706,7,19,low_poverty
1498,161,13,low_poverty
642,0,19,high_poverty
687,4,20,high_poverty
1556,99,216,high_poverty
1135,30,144,low_poverty
1582,74,68,low_poverty
1202,9,79,high_poverty
607,0,183,low_poverty
1565,277,62,high_poverty
401,26,55,low_poverty
2049,40,59,low_poverty
981,25,35,low_poverty
733,10,11,high_poverty
757,6,34,low_poverty
841,79,283,high_poverty
1353,0,27,low_poverty
1252,27,73,low_poverty
10,3,3,low_poverty
849,14,62,low_poverty
807,75,84,high_poverty
519,18,5,low_poverty
734,13,37,high_poverty
1079,48,32,low_poverty
940,63,18,low_poverty
1579,18,57,low_poverty
773,0,57,low_poverty
735,47,0,low_poverty
564,0,0,low_poverty
521,0,4,low_poverty
747,50,0,low_poverty
959,22,0,low_poverty
1213,10,4,low_poverty
496,24,89,low_poverty
1203,18,60,low_poverty
549,2,46,low_poverty
2562,422,437,high_poverty
805,0,74,low_poverty
1825,57,93,high_poverty
593,0,120,low_poverty
1331,27,181,high_poverty
611,60,25,high_poverty
1042,138,79,high_poverty
1045,400,90,low_poverty
708,110,23,low_poverty
861,90,159,low_poverty
744,75,29,high_poverty
554,0,9,low_poverty
1989,74,332,low_poverty
756,16,0,low_poverty
706,20,31,low_poverty
1992,179,109,high_poverty
677,30,23,low_poverty
1282,232,336,high_poverty
972,43,60,high_poverty
2118,237,72,high_poverty
1228,62,288,high_poverty
818,5,76,high_poverty
1426,48,505,high_poverty
575,81,66,low_poverty
469,119,92,high_poverty
769,29,59,low_poverty
1208,90,32,low_poverty
1144,8,23,low_poverty
741,38,0,low_poverty
1676,76,22,low_poverty
934,23,151,low_poverty
2033,210,74,low_poverty
1174,18,127,high_poverty
885,14,42,high_poverty
939,13,42,high_poverty
1042,156,294,high_poverty
1022,42,23,high_poverty
1052,150,35,high_poverty
756,91,30,high_poverty
1009,103,74,low_poverty
716,0,9,low_poverty
566,0,235,high_poverty
546,18,47,low_poverty
1261,58,64,high_poverty
1566,393,223,high_poverty
1526,126,337,high_poverty
983,110,160,high_poverty
653,154,213,low_poverty
950,207,41,high_poverty
914,27,374,high_poverty
900,22,28,high_poverty
1628,311,296,high_poverty
1309,44,165,high_poverty
1097,3,13,low_poverty
7277,247,88,low_poverty
3409,76,0,low_poverty
1659,3,2,low_poverty
1239,18,9,low_poverty
1381,33,9,low_poverty
2049,0,0,low_poverty
1853,46,294,low_poverty
1283,0,165,low_poverty
4779,227,150,low_poverty
1133,14,115,low_poverty
1164,124,149,low_poverty
369,29,40,low_poverty
1446,43,74,low_poverty
1764,129,29,low_poverty
3940,110,277,low_poverty
5604,352,291,low_poverty
583,19,0,low_poverty
2203,7,41,low_poverty
2563,59,104,low_poverty
1798,65,124,low_poverty
1598,0,164,high_poverty
952,0,0,high_poverty
1396,59,228,high_poverty
850,13,148,low_poverty
2512,82,219,low_poverty
1921,0,46,low_poverty
943,61,136,low_poverty
1146,14,0,low_poverty
1628,99,76,high_poverty
1917,12,0,low_poverty
1720,75,0,low_poverty
2804,76,91,low_poverty
3317,168,101,low_poverty
0,0,0,low_poverty
2007,27,88,low_poverty
1007,0,26,low_poverty
532,27,16,low_poverty
1176,18,2,low_poverty
1360,21,55,low_poverty
1053,5,68,low_poverty
1254,81,117,high_poverty
624,106,172,high_poverty
696,35,62,low_poverty
914,91,23,high_poverty
500,59,119,high_poverty
1329,9,93,high_poverty
832,147,123,high_poverty
950,120,224,high_poverty
853,11,170,low_poverty
1183,35,284,high_poverty
1184,202,153,high_poverty
1248,16,126,low_poverty
1149,42,121,low_poverty
855,117,12,low_poverty
973,15,0,low_poverty
1051,15,31,high_poverty
761,21,10,high_poverty
931,0,0,low_poverty
858,66,45,low_poverty
970,30,77,low_poverty
973,19,201,low_poverty
565,0,0,low_poverty
1236,0,55,low_poverty
824,11,63,low_poverty
686,67,95,high_poverty
1218,72,92,low_poverty
970,56,100,high_poverty
709,8,33,high_poverty
716,48,61,low_poverty
802,27,113,low_poverty
521,18,37,high_poverty
760,17,102,low_poverty
581,0,33,low_poverty
692,19,15,low_poverty
797,26,17,low_poverty
569,5,26,low_poverty
574,4,34,low_poverty
562,11,33,low_poverty
1074,16,45,low_poverty
980,20,0,low_poverty
2108,20,43,low_poverty
2476,16,13,low_poverty
1278,19,67,low_poverty
902,50,18,low_poverty
1010,54,209,high_poverty
657,67,134,high_poverty
1394,214,168,high_poverty
1618,16,49,low_poverty
872,52,112,high_poverty
1215,0,129,high_poverty
1082,64,173,high_poverty
401,73,21,high_poverty
1812,38,345,low_poverty
587,0,0,low_poverty
763,27,38,low_poverty
945,8,226,high_poverty
1085,222,24,high_poverty
439,0,55,high_poverty
1412,0,117,low_poverty
1416,68,23,low_poverty
540,5,24,high_poverty
1453,139,242,high_poverty
1735,43,184,low_poverty
1693,571,30,high_poverty
3159,980,379,high_poverty
1556,176,170,low_poverty
1120,26,32,low_poverty
1924,62,198,low_poverty
1306,181,8,low_poverty
1572,14,33,low_poverty
1166,34,8,low_poverty
1127,48,72,high_poverty
2010,60,88,low_poverty
2251,0,56,low_poverty
2422,7,0,low_poverty
1275,0,13,low_poverty
780,50,42,low_poverty
761,14,32,low_poverty
720,2,40,low_poverty
595,13,12,low_poverty
639,71,4,low_poverty
986,0,97,low_poverty
1085,21,0,low_poverty
567,42,121,low_poverty
1060,47,24,low_poverty
1491,27,51,low_poverty
1321,80,53,low_poverty
1381,0,0,low_poverty
1012,0,121,low_poverty
788,5,23,low_poverty
1656,8,43,low_poverty
1106,11,80,low_poverty
1357,28,146,low_poverty
1224,139,0,low_poverty
867,0,0,low_poverty
1312,30,113,low_poverty
1435,959,344,high_poverty
2641,127,229,low_poverty
665,82,79,high_poverty
531,0,0,low_poverty
740,176,104,high_poverty
4,0,4,low_poverty
0,0,0,low_poverty
82,0,12,low_poverty
2788,337,184,low_poverty
1715,33,57,low_poverty
1339,39,74,low_poverty
1468,49,88,low_poverty
1002,49,84,high_poverty
802,8,66,low_poverty
593,13,50,low_poverty
962,59,184,low_poverty
977,67,194,low_poverty
830,10,54,low_poverty
521,27,50,low_poverty
747,21,28,low_poverty
545,6,9,low_poverty
919,15,137,low_poverty
623,15,43,low_poverty
477,0,113,high_poverty
992,17,309,high_poverty
890,44,52,low_poverty
423,0,59,low_poverty
713,72,35,high_poverty
729,65,0,low_poverty
879,201,195,high_poverty
1236,44,33,low_poverty
1218,9,67,low_poverty
795,195,193,high_poverty
1320,141,171,low_poverty
1107,148,294,high_poverty
1042,170,146,low_poverty
651,30,47,high_poverty
868,39,102,low_poverty
789,17,11,low_poverty
962,0,26,low_poverty
1151,4,28,low_poverty
2390,143,265,high_poverty
1626,32,119,low_poverty
1493,99,5,low_poverty
1216,0,161,low_poverty
1752,100,79,low_poverty
